"","state","american indian/alaskan","asian/hawaiian Native/Pacific Islander or asian","hispanic","black","white","hawaiian native/pacific islander","two or more races","Total number of students","student support services"
"2","Alabama","6175.000000","8903.000000","29099.000000","261913.000000","436909.000000","-2","-2","745668.000000","2316.000000"
"3","Alaska","30248.000000","7107.000000","7641.000000","4600.000000","69586.000000","2359.000000","9121.000000","130662.000000","435.000000"
"4","Arizona","59366.000000","32543.000000","450284.000000","63060.000000","482564.000000","-2","-2","1087817.000000","7516.000000"
"5","Arkansas","3455.000000","7681.000000","41096.000000","107524.000000","319209.000000","-2","-2","478965.000000","5006.000000"
"6","California","46446.000000","694515.000000","3064614.000000","454781.000000","1741664.000000","39510.000000","210501.000000","6322528.000000","18060.000000"
"7","Colorado","9494.000000","29253.000000","232226.000000","48757.000000","498713.000000","-2","-2","818443.000000","5394.000000"
"8","Connecticut","2155.000000","23551.000000","97162.000000","78756.000000","365574.000000","-2","-2","567198.000000","2547.000000"
"9","Delaware","453.000000","4223.000000","13732.000000","41696.000000","65326.000000","-2","-2","125430.000000","754.000000"
"10","District of Columbia","55.000000","1097.000000","7433.000000","55961.000000","4117.000000","-2","-2","68681.000000","633.000000"
"11","Florida","7551.000000","64638.000000","660349.000000","607760.000000","1188917.000000","-2","-2","2631020.000000","10174.000000"
"12","Georgia","2615.000000","52205.000000","166276.000000","624668.000000","756371.000000","-2","-2","1655792.000000","7893.000000"
"13","Hawaii","1108.000000","130923.000000","8337.000000","4192.000000","34918.000000","-2","-2","179478.000000","1689.000000"
"14","Idaho","4511.000000","4804.000000","38855.000000","3512.000000","223290.000000","-2","-2","275051.000000","574.000000"
"15","Illinois","3791.000000","86428.000000","440318.000000","412518.000000","1122402.000000","-2","-2","2119707.000000","9350.000000"
"16","Indiana","2745.000000","15234.000000","71273.000000","127918.000000","785887.000000","-2","-2","1046147.000000","2167.000000"
"17","Iowa","2784.000000","10543.000000","33974.000000","28317.000000","411941.000000","-2","-2","487559.000000","2540.000000"
"18","Kansas","7325.000000","12808.000000","64723.000000","40693.000000","335960.000000","-2","-2","471060.000000","1561.000000"
"19","Kentucky","871.000000","7490.000000","19502.000000","72118.000000","555503.000000","-2","-2","670030.000000","2640.000000"
"20","Louisiana","5627.000000","9755.000000","19769.000000","315693.000000","334029.000000","-2","-2","684873.000000","3677.000000"
"21","Maine","1628.000000","3019.000000","2267.000000","5292.000000","180729.000000","-2","-2","192935.000000","1721.000000"
"22","Maryland","3303.000000","49745.000000","80445.000000","320747.000000","389621.000000","-2","-2","843861.000000","4639.000000"
"23","Massachusetts","2622.000000","49203.000000","137548.000000","78353.000000","670429.000000","1132.000000","19623.000000","958910.000000","8229.000000"
"24","Michigan","14966.000000","44536.000000","79467.000000","331444.000000","1172341.000000","-2","-2","1659921.000000","13289.000000"
"25","Minnesota","18162.000000","51787.000000","53753.000000","79911.000000","632435.000000","-2","-2","836048.000000","11772.000000"
"26","Mississippi","949.000000","4403.000000","10520.000000","248318.000000","227745.000000","27.000000","0.000000","491962.000000","2893.000000"
"27","Missouri","4052.000000","17040.000000","35495.000000","163602.000000","697682.000000","-2","-2","917871.000000","4896.000000"
"28","Montana","16198.000000","1674.000000","3757.000000","1458.000000","118812.000000","-2","-2","141899.000000","687.000000"
"29","Nebraska","5015.000000","6062.000000","39568.000000","23610.000000","218335.000000","-2","-2","292590.000000","1304.000000"
"30","Nevada","6588.000000","34961.000000","159837.000000","48689.000000","183296.000000","-2","-2","433371.000000","84.000000"
"31","New Hampshire","646.000000","4772.000000","6552.000000","4099.000000","181865.000000","-2","-2","197934.000000","659.000000"
"32","New Jersey","2200.000000","114163.000000","275516.000000","236720.000000","746320.000000","2827.000000","3674.000000","1381420.000000","12565.000000"
"33","New Mexico","36457.000000","4506.000000","185184.000000","8675.000000","95423.000000","-2","-2","330245.000000","3103.000000"
"34","New York","13390.000000","210265.000000","584290.000000","526703.000000","1397155.000000","-2","-2","2740592.000000","12352.000000"
"35","North Carolina","21495.000000","36646.000000","157861.000000","463764.000000","807682.000000","-2","-2","1488645.000000","8095.000000"
"36","North Dakota","8705.000000","1006.000000","2105.000000","2113.000000","80799.000000","-2","-2","94728.000000","529.000000"
"37","Ohio","2536.000000","30174.000000","49440.000000","295201.000000","1372263.000000","-2","-2","1817163.000000","19376.000000"
"38","Oklahoma","124138.000000","13662.000000","67677.000000","70003.000000","369628.000000","-2","-2","645108.000000","3910.000000"
"39","Oregon","11341.000000","26758.000000","97214.000000","16485.000000","385444.000000","-2","-2","575393.000000","2163.000000"
"40","Pennsylvania","2904.000000","51532.000000","132762.000000","277404.000000","1295127.000000","-2","-2","1775029.000000","8746.000000"
"41","Rhode Island","1055.000000","4624.000000","26902.000000","13098.000000","99663.000000","-2","-2","145342.000000","561.000000"
"42","South Carolina","2670.000000","11211.000000","38948.000000","277565.000000","384114.000000","-2","-2","718113.000000","2991.000000"
"43","South Dakota","15390.000000","1588.000000","3461.000000","3148.000000","102842.000000","-2","-2","126429.000000","713.000000"
"44","Tennessee","2064.000000","15925.000000","50652.000000","239163.000000","664138.000000","-2","-2","971950.000000","827.000000"
"45","Texas","16720.000000","169791.000000","2276041.000000","672754.000000","1616842.000000","-2","-2","4752148.000000","21591.000000"
"46","Utah","7755.000000","18265.000000","80801.000000","8056.000000","441938.000000","-2","-2","559778.000000","1129.000000"
"47","Vermont","234.000000","1295.000000","1080.000000","1584.000000","87982.000000","78.000000","1372.000000","93625.000000","924.000000"
