State,Math_Average_Scale_Score_For_All_Students,Math_Standard_Error,Reading_Average_Scale_Score_For_All_Students,Reading_Standard_Error
Alabama,268.5241203,1.249081971,254.8952466,1.084744583
Alaska,283.0476628,1.021256263,259.4494265,0.921377156
Arizona,277.332282,1.440806215,257.5952755,1.235819369
Arkansas,275.9995,1.139445818,258.0485802,1.22701392
California,270.4485881,1.30163957,252.6313808,1.221127836
Colorado,287.3729075,1.370639826,265.5131199,0.764976982
Connecticut,288.6085135,0.97815293,271.8101332,0.861665056
Delaware,283.829473,0.525403562,264.9989661,0.688044476
District of Columbia,253.5951869,0.861215147,242.4904243,0.94825795
Florida,279.3352641,1.082144711,264.3620409,1.153094428
Georgia,277.5611997,0.911967889,260.2445245,1.026686864
Hawaii,273.7586067,0.652641471,254.7389799,0.628134215
Idaho,287.3052151,0.815011359,264.837185,0.869575263
Illinois,282.431417,1.210012041,264.5140023,1.225255073
Indiana,286.8099779,0.904840627,265.6912406,0.981860872
Iowa,284.1701786,0.988146142,264.888126,0.948794328
Kansas,288.596403,0.951373561,266.7995193,1.104560461
Kentucky,279.2842161,1.091719377,266.8540198,0.919613016
Louisiana,272.3799067,1.588203898,253.329004,1.582003952
Maine,286.3614259,0.742727036,267.7064996,0.741380891
Maryland,288.3415653,1.127881933,267.2980565,1.1140187
Massachusetts,298.8543466,1.337364477,273.5892897,1.19194959
Michigan,278.2681682,1.565166934,261.89815,1.374087764
Minnesota,294.4433201,1.027441618,269.7398201,0.970741016
Mississippi,265.0019582,1.194428911,251.3056546,1.008347474
Missouri,285.8080019,0.970046962,266.8764602,0.953554246
Montana,291.5429429,0.866440518,270.393926,0.640771997
Nebraska,284.2590935,1.079982602,267.0678566,0.931595326
Nevada,274.1485417,0.74938355,253.8409544,0.860733276
New Hampshire,292.3218172,0.890677504,270.7481588,0.958493875
New Jersey,292.6572271,1.429058591,272.8026339,1.305381293
New Mexico,269.7042538,1.080839712,254.1291737,1.237372048
New York,282.5769154,1.248453264,264.2880575,1.246734706
North Carolina,284.3326353,1.284754488,259.5284866,1.188462549
North Dakota,292.8424885,0.678890771,269.2399849,0.63673858
Ohio,285.5830138,1.000952765,268.6782355,1.341035005
Oklahoma,275.7119568,1.047214543,259.495771,0.918113908
Oregon,285.0368144,1.016116626,265.0892467,1.007276848
Pennsylvania,288.3041689,1.251582266,270.7005367,0.847045274
Rhode Island,277.9237194,0.772118068,259.8855897,0.606750831
South Carolina,280.3808554,1.276680934,257.2741846,1.230468692
South Dakota,290.6191277,0.505050961,270.0609902,0.512817239
Tennessee,274.7618211,1.377451024,260.9466762,1.100628706
Texas,286.6850767,1.260709152,260.368795,1.051289694
Utah,284.0682519,0.93425259,265.5915771,0.840324363
Vermont,292.8660964,0.562115844,272.3051342,0.586675752
Virginia,286.069755,1.149246277,265.6419817,1.067696028
Washington,288.7223756,0.984995321,266.9176171,1.138387629
West Virginia,270.4157659,1.002592963,254.7997475,0.852979236
Wisconsin,288.1407262,0.912755292,265.8126157,1.049929335
Wyoming,286.104034,0.624974365,268.1594281,0.984683459
,,,,
,,,,
,,,,
